호기,일자,발전총량(MW),발전최대,발전최소,대기시간,가동시간,유량,산소,측정온도,온도,습도,풍속,NOX,가동시간_multi_hot
5,2023-01-06,19400000.0,863406.0,769188.0,0.0,24.0,206621.64,5.93,92.7,4.38,87.52,2.32,9.48,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-06,19545000.0,869613.0,761730.0,0.0,24.0,201492.51,5.27,90.46,4.38,87.52,2.32,9.92,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-07,13199473.0,826103.0,0.0,3.0,21.0,150807.21,7.14,73.69,-2.76,82.18,1.39,19.12,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-07,0.0,0.0,0.0,24.0,0.0,181.14,20.8,2.3,-2.76,82.18,1.39,54.46,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-07,15427000.0,652730.0,631360.0,0.0,24.0,164833.26,6.32,87.98,-2.76,82.18,1.39,8.97,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-07,15579000.0,659885.0,635457.0,0.0,24.0,161146.63,5.68,88.74,-2.76,82.18,1.39,9.04,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-08,17349740.0,815466.0,676015.0,0.0,24.0,190232.46,4.81,87.47,2.02,72.5,0.2,12.43,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-08,0.0,0.0,0.0,24.0,0.0,67.81,20.83,1.82,2.02,72.5,0.2,60.62,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-08,16186000.0,765110.0,628338.0,0.0,24.0,173811.25,6.49,87.4,2.02,72.5,0.2,8.92,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-08,16308000.0,774317.0,629117.0,0.0,24.0,168979.31,5.59,89.29,2.02,72.5,0.2,8.87,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-09,18259903.0,818941.0,568913.0,0.0,24.0,206622.26,4.55,86.41,-0.57,51.98,1.29,12.49,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-09,0.0,0.0,0.0,24.0,0.0,170.48,20.85,3.07,-0.57,51.98,1.29,70.46,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-09,18904000.0,816929.0,720418.0,0.0,24.0,201769.53,5.9,93.49,-0.57,51.98,1.29,9.61,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-09,19051000.0,821844.0,721990.0,0.0,24.0,199282.52,5.25,91.02,-0.57,51.98,1.29,9.95,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-10,19260244.0,816559.0,728515.0,0.0,24.0,210938.08,4.48,86.62,-2.07,91.64,1.38,12.35,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-10,0.0,0.0,0.0,24.0,0.0,59.41,20.86,1.49,-2.07,91.64,1.38,44.85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
